编号,姓名,昵称,船票,学分,大区,城市
1,王芳,王芳_614,656,1810,华中,武汉
2,吴静,吴静_413,683,2919,华南,珠海
3,张辉Tech,张辉Tech,564,3257,华东,南昌
4,吴娜Tech,吴娜Tech_906,725,1972,西北,银川
5,王丽@AI,王丽@AI_196,623,2568,华东,济南
6,孙芳,孙芳,501,1590,华南,南宁
7,高强Tech,高强Tech_269,583,2393,西北,西宁
8,孙峰,孙峰,680,1694,西北,西安
9,吴燕,吴燕_879,979,3437,华北,呼和浩特
10,高丽,高丽_658,885,2463,西北,银川
11,何霞,何霞_866,150,1612,华北,北京
12,张明_Pro,张明_Pro,778,2483,华北,太原
13,吴伟,吴伟,795,3168,西北,西安
14,黄磊,黄磊_528,760,2354,西北,西宁
15,黄涛,黄涛,778,2471,华中,郑州
16,吴峰,吴峰_792,727,3358,华南,广州
17,王洋,王洋,920,2083,华中,南昌
18,张敏,张敏,634,2952,西北,西安
19,高军,高军,990,2948,华南,海口
20,刘军,刘军,365,2019,华东,上海
21,徐静,徐静,581,3361,华北,石家庄
22,马明2024,马明2024_290,799,1613,西北,西宁
23,孙峰,孙峰_565,917,2862,西北,银川
24,何霞_Pro,何霞_Pro_499,257,2623,东北,长春
25,胡杰,胡杰_598,326,1788,华南,南宁
26,吴洋,吴洋,785,2603,东北,哈尔滨
27,王明,王明,446,3220,华东,南昌
28,杨燕,杨燕,422,3233,西北,西安
29,王磊,王磊,585,2317,东北,长春
30,马伟,马伟,491,1702,东北,大连
31,李静@AI,李静@AI,463,2639,西南,贵阳
32,徐涛,徐涛_786,724,2369,华北,天津
33,何丽,何丽_680,169,1872,西北,银川
34,徐辉,徐辉,339,3029,西南,贵阳
35,刘强@AI,刘强@AI,270,2939,华中,武汉
36,林娜,林娜,276,1576,东北,长春
37,刘峰,刘峰_710,459,1738,华南,海口
38,徐丽,徐丽_385,453,1977,华南,珠海
39,陈涛Tech,陈涛Tech_760,120,1884,华东,济南
40,高丽,高丽,699,2458,东北,沈阳
41,赵强DISC,赵强DISC_964,549,2502,西北,兰州
42,吴鹏,吴鹏_492,326,2613,华东,合肥
43,孙丽,孙丽,515,1501,华北,石家庄
44,高杰,高杰,359,1589,东北,哈尔滨
